source,texte
arduino monitoring zabbix1,Arduíno e Zabbix (Monitoramento de Data Center)
arduino monitoring zabbix1,"Olá pessoal, estou trabalhando em um projeto onde o objetivo é monitorar a temperatura e umidade em um ambiente de TI utilizando o arduino para coleta de dados através de um sensor DHT11 e enviando esses dados através de do SNMP TRAP para o Zabbix."
arduino monitoring zabbix1,Material utilizado no ambiente de laboratório:Zabbix 2.2Arduino UNOShield Ethernet W5100Sensor de temperatura e umidade DHT11
arduino monitoring zabbix1,"Encontrei um código aqui mesmo neste site do arduino que se propôs a atender minha necessidade, segui as orientações e não funciona, no monitor serial escreve que está enviando dados ao servidor zabbix porém não visualizo nada nos gráficos.Obs no site relata versão anterior do zabbix 2.2"
arduino monitoring zabbix1,Segue código:
arduino monitoring zabbix1,//-----------------INCLUDES--------------------#include<SPI.h>#include<Ethernet.h>#include<Base64.h>
arduino monitoring zabbix1,"//--------------------------------------------byte mac[] = { 0xDE, 0xAA, 0xBB, 0xEF, 0xFE, 0x92 };"
arduino monitoring zabbix1,"IPAddress ip(192, 168, 1, 60); // ip address arduinoIPAddress gateway(192, 168, 1, 1);IPAddress subnet(255, 255, 255, 0);"
arduino monitoring zabbix1,"IPAddress zabbix(192,168,1,50); // you're zabbix server"
arduino monitoring zabbix1,"char host[] = ""zabbix-01""; // hostname zabbixchar base64host[200];"
arduino monitoring zabbix1,"char key1[] = ""counter""; // item zabbixchar base64key1[200];"
arduino monitoring zabbix1,char value1[10]; // value of counterchar base64value1[200];
arduino monitoring zabbix1,int counter;
arduino monitoring zabbix1,EthernetClient zabclient ;
arduino monitoring zabbix1,void setup(){
arduino monitoring zabbix1,"counter = 1 ; // init the counterEthernet.begin(mac, ip, gateway, subnet);Serial.begin(9600);}"
arduino monitoring zabbix1,void loop()
arduino monitoring zabbix1,{sendzabbix(); // send counter value to zabbixdelay(60000); // wait one minutecounter = counter + 1;
arduino monitoring zabbix1,}
arduino monitoring zabbix1,//--------------------------------------------
arduino monitoring zabbix1,"void sendzabbix(){if (zabclient.connect(zabbix,10051)){base64_encode(base64host , host , sizeof(host)-1);base64_encode(base64key1 , key1 , sizeof(key1)-1);"
arduino monitoring zabbix1,"itoa(counter,value1,10); // transform int to char"
arduino monitoring zabbix1,"base64_encode(base64value1 , value1 , sizeof(value1)-1);"
arduino monitoring zabbix1,"Serial.println(""Connected with zabbix , sending info"");"
arduino monitoring zabbix1,"zabclient.write(""\n"");zabclient.write("" "");zabclient.write(base64host);zabclient.write(""\n"");zabclient.write("" "");zabclient.print(base64key1);zabclient.write(""\n"");zabclient.write("" "");zabclient.write(base64value1);zabclient.write(""\n"");zabclient.write(""\n"");delay(1);zabclient.stop();}}"
arduino monitoring zabbix1,"// end of code , have fun"
arduino monitoring zabbix1,=================================================================
arduino monitoring zabbix1,A parte do código abaixo
arduino monitoring zabbix1,"zabclient.write(""\n"");.................."
arduino monitoring zabbix1,"está um pouco nebulosa, tenho duvidas em o que se está enviando ao Zabbix via rede. necessito que seja enviado apenas os valores de uma porta analógica A0 ou A1... no qual o sensor DHT11 está conectado.Não consigo visualizar nada nos gráficos do contador."
arduino monitoring zabbix1,Obs.: Para o código rodar tem que adicionar a biblioteca base64
arduino monitoring zabbix1,Obrigado
arduino monitoring zabbix1,Tenho a impressão que isso não é SNMP Trap. O SNMP Trap usa a porta UDP 162 e 160 para SNMP.
arduino monitoring zabbix1,"Este código parece que manda uma espécie de XML para o Zabbix, ele deve ter uma forma de receber estes dados sem ser via trap."
arduino monitoring zabbix1,"Pode fazer o contrário, colocar os valores em um MIB SNMP e o Zabbix consulta. Tem uma biblioteca SNMP pra Arduino:https://code.google.com/p/agentuino/"
arduino monitoring zabbix1,"Tenho interesse no resultado, vai postando aqui, por favor."
arduino monitoring zabbix1,"Olá Amigo Lago, agradeço a ajuda, vou pesquisar uma forma que o zabbix colete dados em uma MIB no arduíno que contenha o valor da porta no qual o sensor DHT11 está conectado."
arduino monitoring zabbix1,Eu possuo um livro de zabbix e estudei um pouco sobre o funcionamento do SNMP em questão.
arduino monitoring zabbix1,"No SNMP ""convencional"" o Arduino ou dispositivo de rede a ser monitorado trabalha como um servidor SNMP e o Zabbix como um cliente SNMP. Assim o zabbix envia uma consulta ao servidor SNMP ""arduino"" que reporta um resultado utilizando a porta 161 UDP."
arduino monitoring zabbix1,"Já o SNMP TRAP o dispositivo ou arduino a ser monitorado trabalha como um agente SNMP. O arduino ou dispositivo de rede fica responsável por encaminhar os dados ao zabbix que por sua vez apenas fica aguardando os dados, nesse ambiente é utilizado a porta 162 UDP."
arduino monitoring zabbix1,"Sua colocação sobre o método de envio de dados ao zabbix parece ser correta pois no código tem a seguinte linha ""if (zabclient.connect(zabbix,10051))"". A porta 10051 é a porta no qual o zabbix trabalha por padrão com seu agente que é instalado em servidores a serem monitorados."
arduino monitoring zabbix1,"Eu pensei que fosse SNMP TRAP pois no artigo:Sending Arduino data to Zabbix ( zabbixsender / zabbixtrapper) - Networking, Protocols, and Devices - Arduino Forum"
arduino monitoring zabbix1,no inicio do código relata a criação de um item no zabbix utilizando o Zabbix TRAPPER para a coleta.
arduino monitoring zabbix1,Obrigado
arduino monitoring zabbix1,char base64host[200];...char base64key1[200];
arduino monitoring zabbix1,char value1[10];char base64value1[200];
arduino monitoring zabbix1,O atmega 328 tem de SRAM 2 KB. Apenas te quero alertar que com com estes arrays acabaste de ocupar 610 bytes que representa cerca de 30% da RAM disponivel
arduino monitoring zabbix1,"Isto pode nao ser um problema, apenas tem isso em mente!Quanto ao teu problema porque nao ""snifar"" o trafego gerado pelo teu arduino com o wireshark a ver o que ele esta a mandar e com que protocolo"
arduino monitoring zabbix1,"Encontrei um exemplo na internet onde o arduino funciona como um dispositivo SNMP ""Agentuino"". Link:Arduino - Projetos e Experiências: agosto 2014Código:"
arduino monitoring zabbix1,/**
arduino monitoring zabbix1,"*/#include<Streaming.h> // Include the Streaming library#include<Ethernet.h> // Include the Ethernet library#include<SPI.h>#include<MemoryFree.h>#include<Agentuino.h>#include<Flash.h>//#defineDEBUG//static byte mac[] = { 0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0xED };static byte ip[] = { 192, 168, 2, 64 };static byte gateway[] = { 192, 168, 2, 1 };static byte subnet[] = { 255, 255, 255, 0 };//// tkmib - linux mib browser//// RFC1213-MIB OIDs// .iso (.1)// .iso.org (.1.3)// .iso.org.dod (.1.3.6)// .iso.org.dod.internet (.1.3.6.1)// .iso.org.dod.internet.mgmt (.1.3.6.1.2)// .iso.org.dod.internet.mgmt.mib-2 (.1.3.6.1.2.1)// .iso.org.dod.internet.mgmt.mib-2.system (.1.3.6.1.2.1.1)// .iso.org.dod.internet.mgmt.mib-2.system.sysDescr (.1.3.6.1.2.1.1.1)static char sysDescr[] PROGMEM = ""1.3.6.1.2.1.1.1.0""; // read-only (DisplayString)// .iso.org.dod.internet.mgmt.mib-2.system.sysObjectID (.1.3.6.1.2.1.1.2)static char sysObjectID[] PROGMEM = ""1.3.6.1.2.1.1.2.0""; // read-only (ObjectIdentifier)// .iso.org.dod.internet.mgmt.mib-2.system.sysUpTime (.1.3.6.1.2.1.1.3)static char sysUpTime[] PROGMEM = ""1.3.6.1.2.1.1.3.0""; // read-only (TimeTicks)// .iso.org.dod.internet.mgmt.mib-2.system.sysContact (.1.3.6.1.2.1.1.4)static char sysContact[] PROGMEM = ""1.3.6.1.2.1.1.4.0""; // read-write (DisplayString)// .iso.org.dod.internet.mgmt.mib-2.system.sysName (.1.3.6.1.2.1.1.5)static char sysName[] PROGMEM = ""1.3.6.1.2.1.1.5.0""; // read-write (DisplayString)// .iso.org.dod.internet.mgmt.mib-2.system.sysLocation (.1.3.6.1.2.1.1.6)static char sysLocation[] PROGMEM = ""1.3.6.1.2.1.1.6.0""; // read-write (DisplayString)// .iso.org.dod.internet.mgmt.mib-2.system.sysServices (.1.3.6.1.2.1.1.7)static char sysServices[] PROGMEM = ""1.3.6.1.2.1.1.7.0""; // read-only (Integer)//// Arduino defined OIDs// .iso.org.dod.internet.private (.1.3.6.1.4)// .iso.org.dod.internet.private.enterprises (.1.3.6.1.4.1)// .iso.org.dod.internet.private.enterprises.arduino (.1.3.6.1.4.1.36582)////// RFC1213 local valuesstatic char locDescr[] = ""Agentuino, a light-weight SNMP Agent.""; // read-only (static)static char locObjectID[] = ""1.3.6.1.3.2009.0""; // read-only (static)static uint32_t locUpTime = 0; // read-only (static)static char locContact[20] = ""Eric Gionet""; // should be stored/read from EEPROM - read/write (not done for simplicity)static char locName[20] = ""Agentuino""; // should be stored/read from EEPROM - read/write (not done for simplicity)static char locLocation[20] = ""Nova Scotia, CA""; // should be stored/read from EEPROM - read/write (not done for simplicity)static int32_t locServices = 7; // read-only (static)"
arduino monitoring zabbix1,uint32_t prevMillis = millis();char oid[SNMP_MAX_OID_LEN];SNMP_API_STAT_CODES api_status;SNMP_ERR_CODES status;
arduino monitoring zabbix1,"void pduReceived(){SNMP_PDU pdu;//#ifdefDEBUGSerial << F(""UDP Packet Received Start.."") << F("" RAM:"") << freeMemory() << endl;#endif//api_status = Agentuino.requestPdu(&pdu);//if ( pdu.type == SNMP_PDU_GET || pdu.type == SNMP_PDU_GET_NEXT || pdu.type == SNMP_PDU_SET&& pdu.error == SNMP_ERR_NO_ERROR && api_status == SNMP_API_STAT_SUCCESS ) {//pdu.OID.toString(oid);////Serial << ""OID: "" << oid << endl;//if ( strcmp_P(oid, sysDescr ) == 0 ) {// handle sysDescr (set/get) requestsif ( pdu.type == SNMP_PDU_SET ) {// response packet from set-request - object is read-onlypdu.type = SNMP_PDU_RESPONSE;pdu.error = SNMP_ERR_READ_ONLY;} else {// response packet from get-request - locDescrstatus = pdu.VALUE.encode(SNMP_SYNTAX_OCTETS, locDescr);pdu.type = SNMP_PDU_RESPONSE;pdu.error = status;}//#ifdefDEBUGSerial << F(""sysDescr..."") << locDescr << F("" "") << pdu.VALUE.size << endl;#endif} else if ( strcmp_P(oid, sysUpTime ) == 0 ) {// handle sysName (set/get) requestsif ( pdu.type == SNMP_PDU_SET ) {// response packet from set-request - object is read-onlypdu.type = SNMP_PDU_RESPONSE;pdu.error = SNMP_ERR_READ_ONLY;} else {// response packet from get-request - locUpTimestatus = pdu.VALUE.encode(SNMP_SYNTAX_TIME_TICKS, locUpTime);pdu.type = SNMP_PDU_RESPONSE;pdu.error = status;}//#ifdefDEBUGSerial << F(""sysUpTime..."") << locUpTime << F("" "") << pdu.VALUE.size << endl;#endif} else if ( strcmp_P(oid, sysName ) == 0 ) {// handle sysName (set/get) requestsif ( pdu.type == SNMP_PDU_SET ) {// response packet from set-request - object is read/writestatus = pdu.VALUE.decode(locName, strlen(locName));pdu.type = SNMP_PDU_RESPONSE;pdu.error = status;} else {// response packet from get-request - locNamestatus = pdu.VALUE.encode(SNMP_SYNTAX_OCTETS, locName);pdu.type = SNMP_PDU_RESPONSE;pdu.error = status;}//#ifdefDEBUGSerial << F(""sysName..."") << locName << F("" "") << pdu.VALUE.size << endl;#endif} else if ( strcmp_P(oid, sysContact ) == 0 ) {// handle sysContact (set/get) requestsif ( pdu.type == SNMP_PDU_SET ) {// response packet from set-request - object is read/writestatus = pdu.VALUE.decode(locContact, strlen(locContact));pdu.type = SNMP_PDU_RESPONSE;pdu.error = status;} else {// response packet from get-request - locContactstatus = pdu.VALUE.encode(SNMP_SYNTAX_OCTETS, locContact);pdu.type = SNMP_PDU_RESPONSE;pdu.error = status;}//#ifdefDEBUGSerial << F(""sysContact..."") << locContact << F("" "") << pdu.VALUE.size << endl;#endif} else if ( strcmp_P(oid, sysLocation ) == 0 ) {// handle sysLocation (set/get) requestsif ( pdu.type == SNMP_PDU_SET ) {// response packet from set-request - object is read/writestatus = pdu.VALUE.decode(locLocation, strlen(locLocation));pdu.type = SNMP_PDU_RESPONSE;pdu.error = status;} else {// response packet from get-request - locLocationstatus = pdu.VALUE.encode(SNMP_SYNTAX_OCTETS, locLocation);pdu.type = SNMP_PDU_RESPONSE;pdu.error = status;}//#ifdefDEBUGSerial << F(""sysLocation..."") << locLocation << F("" "") << pdu.VALUE.size << endl;#endif} else if ( strcmp_P(oid, sysServices) == 0 ) {// handle sysServices (set/get) requestsif ( pdu.type == SNMP_PDU_SET ) {// response packet from set-request - object is read-onlypdu.type = SNMP_PDU_RESPONSE;pdu.error = SNMP_ERR_READ_ONLY;} else {// response packet from get-request - locServicesstatus = pdu.VALUE.encode(SNMP_SYNTAX_INT, locServices);pdu.type = SNMP_PDU_RESPONSE;pdu.error = status;}//#ifdefDEBUGSerial << F(""locServices..."") << locServices << F("" "") << pdu.VALUE.size << endl;#endif} else {// oid does not exist//// response packet - object not foundpdu.type = SNMP_PDU_RESPONSE;pdu.error = SNMP_ERR_NO_SUCH_NAME;}//Agentuino.responsePdu(&pdu);}//Agentuino.freePdu(&pdu);////Serial << ""UDP Packet Received End.."" << "" RAM:"" << freeMemory() << endl;}"
arduino monitoring zabbix1,"void setup(){Serial.begin(9600);Ethernet.begin(mac, ip);//api_status = Agentuino.begin();//if ( api_status == SNMP_API_STAT_SUCCESS ) {//Agentuino.onPduReceive(pduReceived);//delay(10);//Serial << F(""SNMP Agent Initalized..."") << endl;//return;}//delay(10);//Serial << F(""SNMP Agent Initalization Problem..."") << status << endl;}"
arduino monitoring zabbix1,void loop(){// listen/handle for incoming SNMP requestsAgentuino.listen();//// sysUpTime - The time (in hundredths of a second) since// the network management portion of the system was last// re-initialized.if ( millis() - prevMillis > 1000 ) {// increment previous millisecondsprevMillis += 1000;//// increment up-time counterlocUpTime += 100;}}
arduino monitoring zabbix1,"porem ao efetuar o ""verify"" surge os erros:Segue alguns:"
arduino monitoring zabbix1,sketch_mar01a:62: error: 'SNMP_MAX_OID_LEN' was not declared in this scopesketch_mar01a:63: error: 'SNMP_API_STAT_CODES' does not name a typesketch_mar01a:64: error: 'SNMP_ERR_CODES' does not name a type
arduino monitoring zabbix1,"porem ao efetuar o ""verify"" surge os erros:Segue alguns:"
arduino monitoring zabbix1,sketch_mar01a:62: error: 'SNMP_MAX_OID_LEN' was not declared in this scopesketch_mar01a:63: error: 'SNMP_API_STAT_CODES' does not name a typesketch_mar01a:64: error: 'SNMP_ERR_CODES' does not name a type
arduino monitoring zabbix1,Esta te a dizer que nao conhece esses tipos de dados nem essas variaveis.O motivo mais provavel é que nao estejas a colocar bem a biblioteca.Ja agora passa os olhos nas regras do forum e formata bem o teu post
arduino monitoring zabbix1,Related topics
arduino monitoring zabbix1,"Powered byDiscourse, best viewed with JavaScript enabled"
arduino monitoring zabbix2,A hardware ZABBIX  Agent made with Arduino Mega
arduino monitoring zabbix2,"Hi all,"
arduino monitoring zabbix2,"I created a stand alone, hardware ZABBIX (Monitoring System) Agent (running Zabbix Agent-like firmware directly on micro-controller) using Arduino Mega 2560 Board + Ethernet Shield (Wiznet W5100). This device equipped with DHT22 temperature-humidity sensor."
arduino monitoring zabbix2,Current (ZSA1-E model) Features:
arduino monitoring zabbix2,"It's firmware and design will be free and open source. Also Wi-Fi version (with the same form factor) and support for additional sensors (dust, motion, light, Co2..etc) will be implemented in near future."
arduino monitoring zabbix2,Pictures and Screenshots:
arduino monitoring zabbix2,Source code:
arduino monitoring zabbix2,"/*****************************************************************************************
 * Purpose : Zabbix Sensor Agent - Environmental Monitoring Solution                     *
 * Author  : Evgeny Levkov                                                               *
 * Credits:                                                                              *
 *           JO3RI www.JO3RI.be/arduino - for web based ethernet config with EEPROM code *
 *           Rob Faludi http://www.faludi.com - for free memory test code                *
 *****************************************************************************************/

// ZSA1-E
//Credits: 
// JO3RI www.JO3RI.be/arduino - for web based ethernet config with EEPROM code
// Rob Faludi http://www.faludi.com - for free memory test code
// Evgeny Levkov - Zabbix Agent implementation http://www.sensor.im

//-----------------INCLUDES--------------------
#include <SPI.h>
#include <Ethernet.h>
#include <EEPROM.h>
#include ""DHT.h""         // Download at https://github.com/adafruit/DHT-sensor-library
#include <TextFinder.h>  // Download at http://www.arduino.cc/playground/Code/TextFinder"
arduino monitoring zabbix2,Electronic Diagram:
arduino monitoring zabbix2,Electronic Diagram
arduino monitoring zabbix2,Embedded Zabbix Agent Sensor. Contribute to levkov/sensor.im development by creating an account on GitHub.
arduino monitoring zabbix2,"Thanks to Evengy Levkov,"
arduino monitoring zabbix2,"I made some modifications in the code , made it more basics , this was tested with arduino uno and5100 ethernet shield."
arduino monitoring zabbix2,here the source :
arduino monitoring zabbix2,//*****************************************************************************************//* Purpose : Zabbix Sensor Agent - Environmental Monitoring Solution *//* Author : Evgeny Levkov *//* Adapted to basics : Schotte Vincent *//* Credits: *
arduino monitoring zabbix2,//-----------------INCLUDES--------------------#include<SPI.h>#include<Ethernet.h>
arduino monitoring zabbix2,//--------------------------------------------#defineMAX_CMD_LENGTH 25
arduino monitoring zabbix2,"//--------------------------------------------byte mac[] = { 0x90, 0xA2, 0xDA, 0x00, 0xE3, 0x5B };"
arduino monitoring zabbix2,"IPAddress ip(192, 168, 1, 93);IPAddress gateway(192, 168, 1, 1);IPAddress subnet(255, 255, 255, 0);"
arduino monitoring zabbix2,EthernetServer server = EthernetServer(10050); //Zabbix Agent port //Zabbix agent port
arduino monitoring zabbix2,EthernetClient client;
arduino monitoring zabbix2,boolean connected = false;//--------------------------------------------
arduino monitoring zabbix2,//--------------------------------------------String cmd; //FOR ZABBIX COMMANDint led = 2; //LED PORT TO BLINK AFTER RECIEVING ZABBIX COMMANDint counter = 1; // For testing//--------------------------------------------
arduino monitoring zabbix2,"void setup(){Ethernet.begin(mac, ip, gateway, subnet);server.begin();pinMode(led, OUTPUT);digitalWrite(led, LOW);"
arduino monitoring zabbix2,}
arduino monitoring zabbix2,void loop(){//--------------------------------------------client = server.available();if (client == true) {if (!connected) {client.flush();connected = true;}if (client.available() > 0) {readTelnetCommand(client.read());}}}//--------------------------------------------
arduino monitoring zabbix2,void readTelnetCommand(char c) {
arduino monitoring zabbix2,"if(cmd.length() == MAX_CMD_LENGTH) {cmd = """";}cmd += c;if(c == '\n') {if(cmd.length() > 2) {// remove \r and \n from the stringcmd = cmd.substring(0,cmd.length() - 1);parseCommand();}}}//--------------------------------------------void parseCommand() { //Commands recieved by agent on port 10050 parsing"
arduino monitoring zabbix2,counter = counter + 1;
arduino monitoring zabbix2,"// AGENT pingif(cmd.equals(""ping"")) {server.println(""1"");client.stop();// connected = false;"
arduino monitoring zabbix2,"// AGENT version} else if(cmd.equals(""version"")) {server.println(""ArduinZabbixVini.1.0"");client.stop();// connected = false;"
arduino monitoring zabbix2,"// AGENT sensor1} else if(cmd.equals(""sensor1"")) {float h = 99;server.println(h);client.stop();"
arduino monitoring zabbix2,"// AGENT sensor2} else if(cmd.equals(""sensor2"")) {float t = 20;server.println(t );client.stop();"
arduino monitoring zabbix2,"}// AGENT counterelse if(cmd.equals(""counter"")) {float t = 20;server.println(counter );client.stop();"
arduino monitoring zabbix2,"// NOT SUPPORTED} else {// server.println(""ZBXDZBX_NOTSUPPORTED"");server.println(cmd);client.stop();}cmd = """";}//--------------------------------------------"
arduino monitoring zabbix2,In Zabbix just do the following ;
arduino monitoring zabbix2,Have fun
arduino monitoring zabbix2,"Hi Arduinovini, I use your code and everything is fine! Thanks!"
arduino monitoring zabbix2,"But, I include de DHT library for ""real"" values and get a error message:"
arduino monitoring zabbix2,"sensor2.cpp.o: In functionsetup': /usr/share/arduino/hardware/arduino/cores/arduino/IPAddress.h:33: undefined reference toDHT::DHT(unsigned char, unsigned char, unsigned char)'"
arduino monitoring zabbix2,"//*****************************************************************************************
//* Purpose : Zabbix Sensor Agent - Environmental Monitoring Solution *
//* Author : Evgeny Levkov *
//* Adapted to basics : Schotte Vincent *
//* Credits: *

//-----------------INCLUDES--------------------
#include ""DHT1.h""
#include <SPI.h>
#include <Ethernet.h>
#define DHTPIN 7
#define DHTTYPE DHT22
#define MAX_CMD_LENGTH 25

DHT dht(DHTPIN, DHTTYPE);

//--------------------------------------------
byte mac[] = { 0x90, 0xA2, 0xDA, 0x00, 0xE3, 0x5B };

IPAddress ip(10, 0, 1, 3);
IPAddress gateway(10, 0, 1, 1);
IPAddress subnet(255, 255, 255, 0);
EthernetServer server = EthernetServer(10050); //Zabbix Agent port //Zabbix agent port
EthernetClient client;
boolean connected = false;

//--------------------------------------------
String cmd; //FOR ZABBIX COMMAND
//int led = 2; //LED PORT TO BLINK AFTER RECIEVING ZABBIX COMMAND
int counter = 1;  // For testing
//--------------------------------------------


void setup()
{
     Ethernet.begin(mac, ip, gateway, subnet); 
     server.begin();
     //dht.begin();
     //pinMode(led, OUTPUT);
     //digitalWrite(led, LOW);
 
}

void loop()
{
//--------------------------------------------
  client = server.available();
  if (client == true) {
    if (!connected) {
      client.flush();
      connected = true;
    }
    if (client.available() > 0) {
      readTelnetCommand(client.read());
      }
    }
}
//--------------------------------------------


void readTelnetCommand(char c) {

  if(cmd.length() == MAX_CMD_LENGTH) {
    cmd = """";
  }
  cmd += c;
  if(c == '\n') {
    if(cmd.length() > 2) {
      // remove \r and \n from the string
      cmd = cmd.substring(0,cmd.length() - 1);
      parseCommand();
    }
  }
}
//--------------------------------------------
void parseCommand() { //Commands recieved by agent on port 10050 parsing

   counter = counter + 1;


  // AGENT ping
  if(cmd.equals(""ping"")) {
      server.println(""1"");
      client.stop();
// connected = false;

 // AGENT version
   } else if(cmd.equals(""version"")) {
      server.println(""ArduinZabbixVini.1.0"");
      client.stop();
// connected = false;

     
// AGENT sensor1
} else if(cmd.equals(""sensor1"")) {
      //float h = 68;
      float h = dht.readHumidity();
      server.println(h );
      client.stop();
      delay(2000);

// AGENT sensor2
} else if(cmd.equals(""sensor2"")) {
      //float t = 22;
      float t = dht.readTemperature();
      server.println(t );
      client.stop();
      delay(2000);
     
}     
// AGENT counter
 else if(cmd.equals(""counter"")) {
      //float t = 20;
      server.println(counter );
      client.stop();
     
// NOT SUPPORTED
} else {
    // server.println(""ZBXDZBX_NOTSUPPORTED"");
    server.println(cmd);
    client.stop();
  }
  cmd = """";
}"
arduino monitoring zabbix2,Debug message is attached.
arduino monitoring zabbix2,Any help?
arduino monitoring zabbix2,debug-sensor2.log(6.27 KB)
arduino monitoring zabbix2,"Hi,Problem: DHT22 library is not to Arduino 1.0.Solution: attached"
arduino monitoring zabbix2,sensor_local.tar.gz(4.8 KB)
arduino monitoring zabbix2,Thank you guys for all the useful info!With one DHT22 it works like a charm!
arduino monitoring zabbix2,Now I encounter an issue when trying to use multiple DHT22's.
arduino monitoring zabbix2,"For some reason it only shows a maximum of 2 inputs in zabbix at the same time, sometimes it switches between the four(2x humidity measurement and 2x temperature measurement)."
arduino monitoring zabbix2,Can someone please tell me what I'm doing wrong?
arduino monitoring zabbix2,In the picture attached there is some interruptions that are just me reuploading a different script trying to figure out what's wrong
arduino monitoring zabbix2,//* Purpose : Zabbix Sensor Agent - Environmental Monitoring Solution *//* Author : Evgeny Levkov *//* Adapted to basics : Schotte Vincent *//* DHT22 implementation to Arduino 1.0 : Carlos Eduardo de Siqueira *//* Credits: *
