ID,Title,Question,Top Answers,Score,Tags,Date
79452525,logging variables in codesys using caafile or similar,"what im after is logging variables, to a text file or csv, continuously, while my task main prg and some subfbs is running, hopefully in a way which doesnt degrade the task performance. so feel free to suggest a different method entirely, or to troubleshoot the below. ive looked into oscat network but i couldnt get the libraries to load correctly and more recent codesys forge posts suggest caa file is the more uptodate, and generic, method for logging. i also tried cmplog but it was very slow and didnt create an external file. what im currently testing in codesys v3.5 sp20. target device is codesyscontrolforraspberrypimcsl, version 4.11.0.0. testing in simulation mode from a windows pc, but the instance will eventually run on a raspberry pi. using caa file version 3.5.19.0. single task, priority 1, cyclic 4 ms. runs a single prg. the codesys project is saved under cusersdocuments to avoid any weirdness with long file names. the prg is a modified for correct function calls version of caas default example program plcprg var xfilestdinit boolfalse uifilestdstate uint0 sfilename file.caa.filename testfile.txt hfile file.caa.handle sfileteststring stringhello caa library user sfilestring string szfilesize1 file.caa.size 0 szfilesize2 file.caa.size 0 filop file.open filwr file.write filrd file.read filcl file.close endvar if not xfilestdinit then filopxexecutefalse filclxexecutefalse filwrxexecutefalse filrdxexecutefalse xfilestdinittrue uifilestdstate0 else case uifilestdstate of 0 create a new file filop.sfilenamesfilename filop.efilemodefile.mode.mrdwr filop.xexclusivetrue filop xexecutetrue if filop.xdone then hfilefilop.hfile uifilestdstate1 endif if filop.xerror then error handling endif 1 write text in the file filwr.hfilehfile filwr.pbufferadrsfileteststring szfilesize1sizeofsfileteststring filwr.szsizeszfilesize1 filwr.uditimeout100000 100ms timeout filwr xexecutetrue if filwr.xdone then uifilestdstate2 endif if filwr.xerror then error handling endif 2 read file testfile.txt filrd.hfilehfile filrd.uditimeout100000 100ms timeout filrd.pbufferadrsfilestring filrd.szbuffer255 filrd xexecutetrue if filrd.xdone then szfilesize2filrd.szsize if szfilesize2 szfilesize1 then uifilestdstate3 else error handling endif endif if filrd.xerror then error handling endif 3 close file testfile.txt filcl.hfilehfile filcl xexecutetrue if filcl.xdone then uifilestdstate4 endif if filcl.xerror then error handling endif 4 end of example endcase endif when i run the above in simulation mode, uifilestdstate begins at 0 and filop xexecute is true but filop.xdone is always false. it looks like filop.eerror asmcreatejobfailed but i cant figure out why. i tried an absolute location instead of a relative one but that didnt solve the issue.",codesys inbuilt logger can be used with following settings. in codesyscontroluser.cfg cmplog logger.0.nameplc.log gt generic logs of the components logger.1.namelogger.log gt user defined logs in codesyscontrol.cfg cmplog logger.0.filter0x0000000f logger.0.enable1 logger.0.maxentries100000 logger.0.maxfilesize10000000 logger.0.maxfiles1 logger.0.backend.0.classid0x00000104 logger.0.type0x314 logger.1.filter0xffffffff logger.1.enable1 logger.1.maxentries100000 logger.1.maxfilesize10000000 logger.1.maxfiles1 logger.1.backend.0.classid0x00000104 logger.1.type0x314,0,logging;raspberry-pi;codesys,2025-02-19
75582230,mqtt onpublish gives no feedback and connection gets lost every 90 seconds despite keepalive930,"i am using pahomqtt in my python script and the values of my temperature sensor are published every 15 minutes as they should, so this works fine. but on closer consideration of my logfile the mqtt connection gets lost approx. every 90 seconds although my keepalive value is at 930 15 minutes and 30 seconds. the entries in my logfile deliver inforootunexpected disconnection. reason connection refused unacceptable protocol version. does anyone know what the problem could be? cheers this is my script import paho.mqtt.client as mqtt import adafruitdht import time import ssl import logging logging.basicconfiglevellogging.debug, filenamehomepidocumentsmqtt.log, encodingutf8 set up dht22 sensor dhtsensor adafruitdht.dht22 dhtpin 4 gpio pin number the sensor is connected to username mastermqttuserkarlsruhe secret ifysftrjtzktzkfdsc host 192.168.0.52 port 8883 clientid raspika assetid 3ndhrtjtz55rrga def onconnectclient, userdata, flags, rc printquotconnected with result code quotstrrc logging.infoquotconnected with result code quotstrrc def onpublishclient, userdata, msg printmsg.topicquot quotstrmsg.payload logging.infomsg.topicquot quotstrmsg.payload def ondisconnectclient, userdata, rc if rc ! 0 printquotunexpected disconnection.quot logging.infofquotunexpected disconnection. reason mqtt.connackstringrcquot def onlogclient, userdata, level, buf printquotlog quot, buf logging.infoquotlog quot, buf mqttclient mqtt.clientclientid mqttclient.usernamepwsetusername, passwordsecret context ssl.sslcontextssl.protocoltlsv12 mqttclient.tlssetcontextcontext mqttclient.onconnect onconnect mqttclient.ondisconnect ondisconnect mqttclient.onpublish onpublish mqttclient.onlog onlog mqttclient.connecthost, portport, keepalive930 mqttclient.loopstart continuously read and send temperature values while true humidity, temperature adafruitdht.readretrydhtsensor, dhtpin if humidity is not none and temperature is not none mqttclient.publishfquotmasterclientidwriteattributevaluetemperatureassetidquot, temperature mqttclient.publishfquotmasterclientidwriteattributevaluehumidityassetidquot, humidity else printquotfailed to read temperature sensor dataquot printtemperature printquotquot time.sleep900 disconnect mqtt client mqttclient.disconnect mqttclient.loopstop",,0,python;logging;raspberry-pi;mqtt;publish,2023-02-27
73778446,"raspberry pi pico script stops after a while, how to do logging?","ive got a script running on my raspberry pi pico w that works fine, until it doesnt. it has worked for a few days without a problem and now seems to just stop sometimes. it is hard to find out what goes wrong without logging. is there a best practice to go about this? id like to maybe? just log all the exceptions or something. im running micropython and using thonny. context ive made an automated door for my chicken coop. ive repurposed and combined some scripts i found on the interwebs to make a clock that uses wifi and ntp every hour to keep running on time. my script checks when its time to open or close the door and then executes the open or close script that makes the 12v dc motor go. i even have limit switches checking if the door was completely openedclosed. i make the led blink every second, so i can see when it stops. it has been my very first project with raspberry pi, micropython and electronics in general, so im actually quite surprised i got this far without messing up, so please go easy on me. ive already to content with four chicks that have subpar service here p really appreciate the help!","hi the solution is to reset the flash memory and you can do this by dragging and dropping a special uf2 binary onto your pico when it is in mass storage mode. to procure the uf2 binary go here i hope this solved the issue. thank you. naveen ps || ive also posted this question on the rp forum and got this answer the following may help if placed near the start of your script but be warned ive not tested this and it will eventually fill up the file system. import os logfile openlog.txt, a duplicate stdout and stderr to the log file os.duptermlogfile beyond that, youre probably looking at adding yor own logging functionality and exception handling. afiak micropython doesnt have the logging module. this seems to work.",1,logging;raspberry-pi;micropython;raspberry-pi-pico,2022-09-19
72882816,continuously logging the amperage data coming from a raspi hat problem,"i am fairly new to python, and coding in general, and i am tasked to write a program to set an output a and continuously log the a data that is coming from a hat on a raspberry pi model 4b running ubuntu, program which i will use for my master thesis. i have the part of the program that does set the a, but i have not been successful in making a loop that saves the data in a file every second. i have both tried saving the data in a .csv format and in a .txt one, but both to no avail, as the file is created, but it is always empty. also, the loop is not closed, as we want to have it continuously running until we decide to hit stop. until now i have stopped the program by hitting quotstopquot in the program i am writing the code in thonny, as i habe tried with the keyboard library to code it stopping once a specific key was pressed to no avail. import megaind hat library from datetime import date time library for file name import schedule for iteration import time amperage inputquotinput the desired amperage.the input must be between 4 and 20nquot amperage imput amperage floatamperage while amperage lt 4.0 or amperage gt 20.0 while statement that controls if the amperage value is between the parameters amperage inputquotplease imput a number between 4 and 20nquot amperage floatamperage megaind.set420out0,1,amperage sets the 1st output pin to the amperage value today date.today string variable with its contents as todays date timewrite 0 inamperage 0 def timefun function that writes seconds and input value global timewrite global inamperage timewrite 1 inamperage megaind.get420in0,1 txtfile.writequot0,1nquot.formattimewrite, inamperage with openhomelaserlabdesktopdischarge filess.txt today, a as txtfile writes the data in a csv file while true schedule.every1.seconds.dotimefun iterates each second while true schedule.runpending time.sleep1 this is me trying to save it as a txt file import megaind hat library from datetime import date time library for file name import csv for file writing import schedule for iteration import time amperage inputquotinput the desired amperage.the input must be between 4 and 20nquot amperage imput amperage floatamperage while amperage lt 4.0 or amperage gt 20.0 while statement that controls if the amperage value is between the parameters amperage inputquotplease imput a number between 4 and 20nquot amperage floatamperage megaind.set420out0,1,amperage sets the 1st output pin to the amperage value today date.today string variable with its contents as todays date timewrite 0 def timefun function that writes seconds and input value global timewrite timewrite 1 inamperage megaind.get420in0,1 with openhomelaserlabdesktopdischarge filess.csv today, a as csvfile writes the data in a csv file writer csv.writercsvfile while true lineamp timewrite,inamperage writer.writerowlineamp schedule.every1.seconds.dotimefun iterates each second while true schedule.runpending time.sleep1 this is instead trying to save it as a csv file. the format of the file is not important, as in the end it will all be imported in either r or excel, so i am open to suggestions of any kind. also, the megaind library is the one provided by the hat manifacturer that i am using to get the data from said device. i have tried both with the linux terminal and from the program itself, and it is getting the data from the hat, so the issue doesnt lay there. i am probably doing something wrong that will be apparent to people more experienced than me, but i cannot see what that might be. any help will be greatly appreciated!",,0,python;csv;logging;raspberry-pi,2022-07-06
70928912,why can39t root user modify the logfile created by another user? even with neccessary readwrite permissions,"im using pythons logging library to log some events in a few scripts. each script is run as a separate process, some are run as root whilst others are run as another user the default raspberry pi user in my case. ive set up the configuration in a single yaml file and passed this into dictconfig when the script starts up. none of the scripts share a logfile they only share the config. simplified yaml file version 1 disableexistingloggers true formatters standard format quotasctimes names levelnames messagesquot handlers console class logging.streamhandler level debug formatter standard stream extsys.stdout scannerhandler class logging.handlers.rotatingfilehandler formatter standard filename tmpscanner.log maxbytes 10485760 mb backupcount 3 encoding utf8 prehookhandler helpers.allwriterotatingfilehandler filename tmpprehook.log formatter standard maxbytes 10485760 mb backupcount 3 encoding utf8 root level notset handlers console propagate yes loggers scanner level debug handlers scannerhandler propagate yes prehook level debug handlers prehookhandler propagate no setup method and a custom file handler that ensures every user can read and write to the file import os import stat import yaml import logging.config import logging.handlers import logging def setuploggingdefaultpath, defaultlevellogging.info path defaultpath if os.path.existspath with openpath, rt as f config yaml.safeloadf.read logging.config.dictconfigconfig else printfailed to load configuration file. the log file could not be opened. class allwriterotatingfilehandlerlogging.handlers.rotatingfilehandler def openself rtv logging.handlers.rotatingfilehandler.openself currmode os.statself.basefilename.stmode adds read and write permissions to all users os.chmodself.basefilename, currmode stat.siwoth stat.siroth return rtv then in my respective scripts i setup the logger as follows helpers.setuploggingfullpathtoconfig.yaml logger logging.getloggerloggerdefinedinconfig i run one script as my default user, then when i run the other using sudo the following exception is thrown traceback most recent call last file quotusrlibpython3.9loggingconfig.pyquot, line 564, in configure handler self.configurehandlerhandlersname file quotusrlibpython3.9loggingconfig.pyquot, line 745, in configurehandler result factorykwargs file quotusrlibpython3.9logginghandlers.pyquot, line 153, in init baserotatinghandler.initself, filename, mode, encodingencoding, file quotusrlibpython3.9logginghandlers.pyquot, line 58, in init logging.filehandler.initself, filename, modemode, file quotusrlibpython3.9logginginit.pyquot, line 1142, in init streamhandler.initself, self.open file quothomepi.developmentthecakecanwaithelpers.pyquot, line 20, in open rtv logging.handlers.rotatingfilehandler.openself file quotusrlibpython3.9logginginit.pyquot, line 1171, in open return openself.basefilename, self.mode, encodingself.encoding, permissionerror errno 13 permission denied tmpprehook.log",,0,python;python-3.x;linux;logging;raspberry-pi,2022-01-31
66579064,gcp logging to both local and cloud logging on iot device?,"i have some python scripts running on iot devices raspberry pis which i want to keep track of using gcp logging. originally, my scripts were simply logging to a local file, but now i want to be able to look at my devices logs from the gcp console. i have tried the following import the cloud logging library import google.cloud.logging from google.cloud.logging.handlers import cloudlogginghandler from google.cloud.loggingv2.resource import resource logproject projectid resourcetype cloudiotdevice devicenumid iotdevicenum deviceregistry registryid location location loggername rpi1scriptlogger loglabels projectidlogproject, devicenumiddevicenumid, deviceregistryiddeviceregistry, locationlocation logresource resourcetyperesourcetype, labelsloglabels prepare a client with the google cloud logging library client google.cloud.logging.client prepare a handler and attach the client and the resource handler cloudlogginghandlerclient, resourcelogresource formatter logging.formatterquotasctimes levelnames messagesquot,ymdhms handler.setformatterformatter initiate standard python logger and set it up logger logging.getloggerloggername logger.setlevellogging.info attach the handler so logs are uploaded to the cloud logger.addhandlerhandler at first i thought this solution would work, but then eventually i stopped getting logs on gcp even though the script was running. after i stopped it, it said something along the lines of quottrying to push x pending logsquot but immediately failed. it looks like it got stuck and wasnt uploading the logs, so i lost them completely as i also dont have them locally from changing the logger. as i understand it, the default cloud logging handler is background threaded transport, and i could change it to sync transport as the docs indicate so it uploads the log directly however, im not sure how to change the transport. also, i dont want the script to get stuck on trying to upload a log if the connection is lost, ad my script can continue without connection. is there a better way to upload my devices logs to gcp? or at the very least have my logger save them both to a local file and try to upload them, this way if it gets stuck i can potentially go through my log file and upload them. i even considered saving logs locally as i always had, and have another script trying to upload them separately, but this doesnt sound like a good idea. any ideas would be appreciated, i feel like this is an already solved problem but i dont know what that solution might be.",,0,python;logging;google-cloud-platform;raspberry-pi;iot,2021-03-11
61987162,why is my cron command not outputting in log file?,"on my raspberry pi, i have entered the following entry in my crontab using crontab e without sudo echo hello world ampgtgt homepitest.txt just as a test, that is. after restarting cron sudo etcinit.dcron restart the test.txt file is created in homepi, but the content remains empty. why? if i run this without the asterisks in my ssh terminal on the rasberry pi, it works fine. i got to this point because my goal is to run a python script and log any errors, because sometimes it stops running and i dont know why. hence my need for logging. thank you for your help! p.s. i have the same problem on my orange pi that runs raspbian debian buster, but there cron doesnt work for some reason so there i am using rc.local to run my scripts on boot. but the same problem arises log file is created but no content is added.","it appears that raspbian is using dash as the default shell for cron. dash is sh compliant and not bash compliant. that means that you cannot use ampgtgt. you must use gtgt output.log 2gtamp1 instead. youre saying that your goal is to run a python script. theres a catch with that too. pythons buffering output so if its too short it wont appear in your log file by default. you can use python u for unbuffered output. i hope that my answer makes sense. || python homepicode.py 2gtamp1 homepicode.log hello, the last part of the above snippet in the crontab will write every log in the file homepicode.log hope it helps",2,python-3.x;logging;cron;raspberry-pi;debian,2020-05-24
58951469,windows 10 iot core device portal does not show loggingchannel events,"i am trying to log the information using windows.foundation.diagnostics.loggingchannel class, in my uwp headless app that runs on a raspberry pi. i dont see any errors while running the application, but i cannot see any events in device portaletw viewer. i have enabled microsoftwindowsdiagnosticsloggingchannel level 5. below is the code snippet from my application. using windows.foundation.diagnostics loggingchannel loggingchannel new loggingchanneltest provider, null loggingchannel.logmessageprocess started,logginglevel.information please note that i can see the events for other providers like microsoftwindowskernelnetworking.","the loggingchannel registered in your code is not for microsoftwindowsdiagnosticsloggingchannel but for your custom channel. you can see the events via enabling the custom provider with guid. for example, i run the sample on my raspberry pi 3, i can see the events in device portal.microsoftwindowsdiagnosticsloggingchannel is system registered provider.",0,logging;uwp;raspberry-pi;etw;windows-iot-core-10,2019-11-20
58486927,detect specific sound from physical source and log datetime,"in short we are doing a uni project and want to build a device to log datetime when a wall mounted phone rings. we want feedback and alternatives on how we could go about building the logger and programming it to to what we need. what we need in the end is a dataset showing when and how often the phone rings. background the sound is a phone connected to the front gate and has a standard ringringring sound. the device could be located directly on top of one of the phones which are the sound sources on each floor at the customers site. the phones are centrally located and will have people moving and talking in close proximity. edit the phone is not used for anything else but the front gate. we have inteam experience with raspberrypi, python and common frontend languages and access to university and customer resources if we would need them. requirements must not be equipped or configured as a listening device because of risk capturing sensitive discussions should be able to log without maintenance for at least three weeks should have high accuracy in logs a log when someone talks or walks by is a false positive should be cost effective in hardware could use raspberrypi or similar should not simply record sounds, sound levels, research i found a related thread detect tap with pyaudio from live mic where they discuss reading and comparing 0,05 sec blocks to start record audio when someone taps the mic. in our scenario the sound difference will probably not be as distinct as taps on a mic but this might be a suitable approach. another post we found was this on detecting if specific sounds. we could get a clean copy of the sound but i cant help but feel like there probably is an easier way to do it. this post about detecting a specific sound is about mls or sine sweepsis not really what we want to do as the audio we want to detect is not arbitrary but a fixed ringringring sound. we have not found audacity to be able to detect specific sounds. perhaps a contact microphone could be used to minimize the unwanted noise? the device will be right on top of the source, but since its a phone it could cause false positives if somebody uses the phone? we might be able to dedicate one of the phones to be purely data collection and make it off limits for regular use. we appreciate any and all feedback to help us with this project. thanks in advance. update 1 we came up with a shortcut that would cut down on the programming required. what if we measure the current sent to the phones speaker? it would require us to open up the phone and place some cables on the speaker element but it should be quite easy. we are planning some initial testing early next week. update 2 we were not allowed to open the phone case as they were owned by the landlord. with that said we are looking into using arduino to handle the sensors. final update in the end we opted to go with a raspberrypi we found a 3b we could use, not minding that it would be a bit overpowered and a sparkfun sound detector to communicate using the gpio pins over i2c. we stubled upon some issues that could be hw fault in rpi or sensor alternatively lack of knowledge from our side. this being just a subproject and not of very great consequence in our case we dropped it to focus on more pressing matters. kinda sucks because of the lost hours but you got to prioritize. happy hacking",,0,python;logging;audio;arduino;raspberry-pi,2019-10-21
57708637,advice for keeping python logging script running indefinitely. script acts up after many hours,"im writing a script to log serial data from a solar inverter. the script runs fine for many hours on windows, but then starts to act up. the script should print debug data to console and write logging data to a .csv file roughly every minute. printing debug data to stdout works for hours, but then starts to become sporadic. when i mouse over the powershell console and bring it into focus again the printing seems to resume. does windows put oldinactive processes to sleep or something? the script should write logging data to a .csv file roughly every minute, however it sometimes goes many minutes without updating the .csv file. when it does finally update the file no data is lost, so its still clearly logging data in the backround. edit looking closer at the .csv data, it appears there are in fact temporal breaks in the data, where i assume the process is being suspended and then later resumed. ive been programming for years, but i am new to python. im sure i havent made an overflow error or something similar. i dont think youll glean anything from it, but ive put the main loop of the script below anyways. try if not ser.isopen printopening serial ser.open global invertersettings invertersettings crc.readsettingsser qpigscolumns dp.qpigsparamsmodified.keys printqpigscolumnsn, qpigscolumns qpigsarray pd.dataframe, columnsqpigscolumns qpigsarray.setindex24hdecimal, inplacetrue today time.strftime a, d b y, time.localtime nicely formatted date variable printsarting today while 1 newtoday time.strftime a, d b y, time.localtime checking for a new day every minute or so if today ! newtoday today newtoday updating to new day qpigsarray pd.dataframe , columnsqpigscolumns creating new dataframe for new day qpigsarray.setindex24hdecimal, inplacetrue printn today read solar data loop print., end, flushtrue for i in range30 rawqpigsdata dp.readqpigsser data pd.dataframerawqpigsdata, columnsqpigscolumns data.setindex24hdecimal, inplacetrue qpigsarray qpigsarray.appenddata, ignoreindexfalse qpigsarray.tocsvtoday .csv if rawqpigsdata1 gt 6 and rawqpigsdata1 lt 18 between 6 am and 6 pm daylight hours if rawqpigsdata13 gt pvocv 2 and rawqpigsdata15 lt 10 panels have enough voltage, but not producing any solar power print?, end, flushtrue floatv invertersettingsusersettingsfloatchargev rx1 crc.adjustfloatv floatv 0.1, ser potential fix for panels not working? rx2 crc.adjustfloatvfloatv 0.1, ser if rx1 rx2 ack print?, end, flushtrue else print, end, flushtrue except exception traceback.printexc finally ser.close the script doesnt seem to crash or throw any errors. so im assuming this is a error with the way windows handles long running processes. i plan to move this to a rpi soon btw. so in general, i need advice on how to set up python code so it can run indefinitely on windows and on a rpi without being put to sleep, or crashing after months. how does one usualy go about this?",,4,python;windows;logging;raspberry-pi;scheduling,2019-08-29
56908049,"wrote a python code to retrieve coordinates and write them on a csv file, the is made but is empty, not even the headers are added","i used a code that retrieves coordinates via a gps chip and writes it on a csv file. the csv file is made but is empty on every run. this is my first time coding with python so cant really get my head around the problem. here is the code from time import sleep, strftime, time import serial import pynmea2 import datetime from csv import writer setup the serial port to which gps is connected port devttys0 ser serial.serialport, baudrate 9600, timeout 0.5 dataout pynmea2.nmeastreamreader counter 0 def getsensedata while true newdata ser.readline if newdata06 gpgga parsedline pynmea2.parsenewdata latitudereading parsedline.latitude alpha latitudereading longitudereading parsedline.longitude beta longitudereading sensedata sensedata.appendcounter sensedata.appenddatetime.datetime.now sensedata.appendalpha sensedata.appendbeta return sensedata with opengpsdata.csv, w as f datawriter writerf datawriter.writerowterm no.,date and time,latitude,longitude while true data getsensedata datawriter.writerowdata counter counter 1 i also tried to change the indents a little bit, but the csv file still comes out empty","you code looks generally correct, but since you never close or flush the file in the infinite while loop, the file may be written slowly enough that it hasnt flushed to disk yet. heres a simplified version of your code with an added flush. if you run this script without stopping it and look at the csv content, youll see it add a line every second. remove the flush and it may be blank for a long time...at least until the os decides it is time to flush the buffer to disk itself. !python2 from csv import writer import time counter 0 with opengpsdata.csv, wb as f datawriter writerf datawriter.writerowterm no.,date and time,latitude,longitude while true time.sleep1 data counter,2,3,4 datawriter.writerowdata printdata f.flush counter counter 1",0,python;csv;logging;raspberry-pi;gps,2019-07-05
56725289,python logging module no output to log file on raspberry pi but works on mac os,"i have setup a logger for my script that works perfectly on my mac. but i need this program to be running 247 on my raspberry pi. however, when it runs on there the log file just remains blank for some odd reason. here is how i am setting up the logger import logging import ... import ... logger logging.getloggername logger.setlevellogging.debug formatter logging.formatterasctimesnamesmessages filehandler logging.filehandlerfilenamelogfile.log filehandler.setformatterformatter logger.addhandlerfilehandler and later using in my methods by just calling logger.debugmsg here i dont know why this is happening, is there a different way to setup the logger on raspbianlinux than with mac os??","i was having a similar problem with logging that was not supposed to happen i searched a lot for answers, but found none in the end, i looked in usrlibpython3.5logginginit.py to see it. in my case, when i used the basicconfig, it says that if a handler already exists logging.root.handlers nothing will happen similar to your case i believe. so, i just make it empty with logging.root.handlers after importing logging module and it started to log to the file. i dont know if it is exactly the same for you, but i would try this or take a look in the functions that your calling inside the above file path just be aware of the python version that you are using. hope it helps!",0,python;logging;raspberry-pi;raspbian,2019-06-23
50927618,python logging debug level logs not logged when script autostarted from etcrc.local,"on my raspberry pi raspbian the following code test.py logs both debug and info log messages as expected in the log file homepitesttest.log when launched from the console, but only logs the info log message when launched at startup by the root user from the etcrc.local file. import logging logging.basicconfigfilenamehomepitesttest.log,levellogging.debug, formatasctimes modules levelnames messages logging.debugdebug error logging.infoinfo error why ?","the code block you have specified should work perfectly fine and the debug message should go to the specified file but remember that you can do logging.basicconfig only once for the python process. if you already done a logging.basicconfig from another module, or if you have configured the root logger in some other way, your config wont have any effect here is a snip from helplogging.basicconfig basicconfigkwargs do basic configuration for the logging system. this function does nothing if the root logger already has handlers configured. it is a convenience method intended for use by simple scripts to do oneshot configuration of the logging package.",0,python;logging;raspberry-pi;raspbian,2018-06-19
